date_time,player,mission,answer,correct,points,score,ai_prediction,dangerous_votes,naive_bayes_probability,logistic_regression_probability,random_forest_probability
2026-09-05 23:44:55,tt,1,dangerous,True,200,200,dangerous,3,0.8043107749887326,0.7241816024871816,0.96
2026-09-05 23:48:30,tt,2,dangerous,True,100,300,safe,1,0.4580530987608448,0.532016264842879,0.35
2026-09-05 23:48:33,tt,3,safe,False,0,300,dangerous,3,0.8220733951797969,0.7381979941107439,0.94
2026-09-05 23:48:35,tt,4,dangerous,True,200,500,dangerous,3,0.7862182759032165,0.7124942999843216,0.93
2026-09-05 23:48:39,tt,5,safe,True,100,600,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 23:48:43,tt,6,dangerous,True,150,750,dangerous,3,0.7797531033652285,0.7074965873226606,0.89
2026-09-05 23:48:46,tt,7,safe,True,100,850,safe,0,0.23550472658385901,0.40438942845888315,0.26
2026-09-05 23:48:49,tt,8,dangerous,True,150,1000,dangerous,3,0.8376170527786282,0.7492439624507325,0.89
2026-09-05 23:48:52,tt,9,dangerous,False,0,1000,dangerous,3,0.6000000000000001,0.6022223608422091,0.67
2026-09-05 23:48:55,tt,10,safe,True,100,1100,safe,0,0.36599057453203543,0.4829985402179815,0.36
